System_Name,Seq,Table_Name,Table_Desc
,319,SYS_PERSON_ROLE,
,320,SYS_PERSON_ROLE_RECORD,
,321,SYS_PERSON_SYNC_RECORD,
,322,SYS_ROLE,
,323,SYS_ROLE_GROUP,
,324,SYS_SCHEDULE,
,325,SYS_SCHEDULE_bk0325,
,326,SYS_SCHEDULE_LOG,
,327,SYS_SUBSCRIBER,
,328,SYS_UNIT,
,329,SYS_USE_LOG,
,330,sysdiagrams,
,331,SYSPK_FIELDMAPPING,
,332,SYSPK_QRECORD,
,333,Table_A,
,334,Table_B,
,335,TBHHMLIC_MLMS_BAK,
,336,TBHHMOD_MLMS_BAK,
,337,tbmed1,
,338,TBMED1120619,
,339,TBMLIC_MLMS_BAK,
,340,View_DNS_中繼站名單,
,341,VW_For_藥證_申請案,
,342,VW_For_藥證_貨品進口_同意函基本資料檔,
,343,VW_For_藥證_貨品進口_專案通關檔,
,344,同意函基本資料檔檢視表_Bak,
,345,自用原料藥分配量檢視表,
,346,自用原料藥申請主檔檢視表,
,347,自用原料藥申請貨品明細檔檢視表,
,348,行政處份,
,349,個人自用專案進口項目申請人檢視表_bak,
,350,執業資料,
,351,執業變更資料,
,352,專案通關主檔檢視表_bak,
,353,第一等級線上登錄附件檢視表,
,354,第一等級線上登錄附件檢視表１,
,355,第一等級線上登錄檢視表,
,356,第一等級線上登錄檢視表1,
,357,第一等級線上登錄變更附件檢視表,
,358,許可證授權報備明細檢視表,
,359,許可證授權報備檢視表,
,360,報關查檢資料檔,
,361,報關查檢資料檔_Log,
,362,試製及樣品委託商檢視表_bak,
,363,資料專屬保護許可證資料檔_MLMS_BAK,
,364,機構行政處分,
,365,機構基本資料,
,366,機構開業異動,
,367,機構業務項目,
,368,醫事人員基本資料,
,369,醫事人員證書,
,370,醫療器材定期安全監視_MLMS,
